ProtID	Resistance_Type	Resistance_Class	Identity	Antibiotic_Resistance	Description
ZP_02959935	Aac2Ia	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
Q52424	Aac2Ia	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAA03550	Aac2Ia	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
Q49157	Aac2Ib	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
NP_214776	Aac2Ic	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
NP_334681	Aac2Ic	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
NP_853933	Aac2Ic	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_976398	Aac2Ic	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_001281550	Aac2Ic	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_001286211	Aac2Ic	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ZP_02551262	Aac2Ic	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_002077720	Aac2Ic	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_002159550	Aac2Ic	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ZP_03418441	Aac2Ic	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ZP_03418559	Aac2Ic	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ZP_03431099	Aac2Ic	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ZP_03435301	Aac2Ic	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ZP_03534798	Aac2Ic	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ZP_03535144	Aac2Ic	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_002643335	Aac2Ic	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
P0A5N0	Aac2Ic	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
P0A5N1	Aac2Ic	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
